"행정구역(시·군)별","경제활동별","항목","단위","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년",
"군포시","건설업","2010년 기준년 고정가격_지역내","","348395","321398","332107","308493","315275","361943","476472",
"군포시","도매 및 소매업","산출액(당해년가격)","","816249","731138","711435","755628","779876","718490","651231",
"군포시","도매 및 소매업","중간소비","","406625","359759","344342","359510","379505","343752","307654",
"군포시","도매 및 소매업","지역내총부가가치(당해년가격)","","409624","371379","367093","396118","400371","374738","343577",
"군포시","도매 및 소매업","고정자본소모","","32376","29100","27102","27836","28029","26457","23596",
"군포시","도매 및 소매업","지역내순생산","","377248","342279","339990","368282","372342","348281","319981",
"군포시","도매 및 소매업","기타생산세(기타생산보조금 공제)","","8664","7836","7149","7566","7484","7077","5761",
"군포시","도매 및 소매업","지역내요소소득","","368584","334443","332842","360716","364858","341204","314220",
"군포시","도매 및 소매업","2010년 기준년 고정가격_산출액","","778043","707097","683810","726426","750062","697539","651231",
"군포시","도매 및 소매업","2010년 기준년 고정가격_지역내","","418205","381299","372126","393003","392056","367322","343577",
"군포시","운수업","산출액(당해년가격)","","928390","869841","890212","815997","719789","841947","786321",
"군포시","운수업","중간소비","","507133","484342","516334","477763","429969","507513","465990",
"군포시","운수업","지역내총부가가치(당해년가격)","","421257","385500","373878","338234","289820","334434","320330",
"군포시","운수업","고정자본소모","","133075","121826","118706","105258","91697","101141","87191",
"군포시","운수업","지역내순생산","","288182","263673","255172","232976","198123","233294","233140",
"군포시","운수업","기타생산세(기타생산보조금 공제)","","8624","7940","6983","6296","5435","6467","4720",
"군포시","운수업","지역내요소소득","","279558","255733","248189","226680","192689","226827","228420",
"군포시","운수업","2010년 기준년 고정가격_산출액","","849756","801820","819023","765303","681122","823801","786321",
